State,Assembly,Candidate,Party,Votes
Uttar Pradesh,Bijnor,None of the Above,None of the Above,"  5,775 "
Uttar Pradesh,Bulandshahr,BHOLA SINGH,Bharatiya Janata Party,"  604,449 "
Uttar Pradesh,Bulandshahr,PRADEEP KUMAR JATAV,Bahujan Samaj Party,"  182,476 "
Uttar Pradesh,Bulandshahr,KAMLESH,Samajwadi Party,"  128,737 "
Uttar Pradesh,Bulandshahr,ANJU URF MUSKAN,Rashtriya Lok Dal,"  59,116 "
Uttar Pradesh,Bulandshahr,DR. RAHUL DIPANKAR,Aam Aadmi Party,"  9,727 "
Uttar Pradesh,Bulandshahr,HARVIR,Independent,"  5,690 "
Uttar Pradesh,Bulandshahr,PYARE LAL,Bahujan Mukti Party,"  4,448 "
Uttar Pradesh,Bulandshahr,VIJAI PAL,Rashtriya Janpriya Party,"  4,117 "
Uttar Pradesh,Bulandshahr,SURESH,Jai Maha Bharath Party,"  2,580 "
Uttar Pradesh,Bulandshahr,RAGHURAJ PRATAP SINGH,Rashtriya Kranti Party,"  1,455 "
Uttar Pradesh,Bulandshahr,None of the Above,None of the Above,"  6,915 "
Uttar Pradesh,Chandauli,DR MAHENDRA NATH PANDEY,Bharatiya Janata Party,"  414,135 "
Uttar Pradesh,Chandauli,ANIL KUMAR MAURYA,Bahujan Samaj Party,"  257,379 "
Uttar Pradesh,Chandauli,RAMKISHUN,Samajwadi Party,"  204,145 "
Uttar Pradesh,Chandauli,TARUN PATEL URF TARUNENDRA CHAND PATEL,Indian National Congress,"  27,194 "
Uttar Pradesh,Chandauli,IRSHAD,Aam Aadmi Party,"  15,598 "
Uttar Pradesh,Chandauli,DR. HARIDWAR SINGH YADAV,Janata Dal (United),"  8,756 "
Uttar Pradesh,Chandauli,RAJENDRA,Pragatisheel Manav Samaj Party,"  7,767 "
Uttar Pradesh,Chandauli,RAJA JAISWAL,All India Trinamool Congress,"  6,170 "
Uttar Pradesh,Chandauli,SANJEEV SINGH,Suheldev Bhartiya Samaj Party,"  4,993 "
Uttar Pradesh,Chandauli,HEERALAL,Bahujan Mukti Party,"  4,768 "
Uttar Pradesh,Chandauli,RAJNARAYAN,Independent,"  4,221 "
Uttar Pradesh,Chandauli,VINAI KUMAR SINGH,Indian National League,"  3,882 "
Uttar Pradesh,Chandauli,SHASHI SINHA,Ex-Sainik Kissan Party,"  2,988 "
Uttar Pradesh,Chandauli,BINDU,Independent,"  2,769 "
Uttar Pradesh,Chandauli,JITENDRA,Gondvana Gantantra Party,"  2,502 "
Uttar Pradesh,Chandauli,RAM DULAR,Communist Party of India (Marxist-Leninist) (Liberation),"  2,386 "
Uttar Pradesh,Chandauli,SANJAY,Independent,"  2,148 "
Uttar Pradesh,Chandauli,GULAVAS,Independent,"  1,482 "
Uttar Pradesh,Chandauli,RAMASHANKER SINGH MAURYA,Bhartiya Samajik Kranti Dal,"  1,423 "
Uttar Pradesh,Chandauli,CHANCHAL,Janta Raj Party,"  1,362 "
Uttar Pradesh,Chandauli,MRITUNJAYA PANDEY,Jan Raksha Party,"  1,318 "
Uttar Pradesh,Chandauli,None of the Above,None of the Above,"  3,186 "
Uttar Pradesh,Deoria,KALRAJ MISHRA,Bharatiya Janata Party,"  496,500 "
Uttar Pradesh,Deoria,NIYAJ AHMAD,Bahujan Samaj Party,"  231,114 "
Uttar Pradesh,Deoria,BALESHWAR YADAV,Samajwadi Party,"  150,852 "
Uttar Pradesh,Deoria,SABHA KUNWAR,Indian National Congress,"  37,752 "
Uttar Pradesh,Deoria,RAM PRAVESH,Bharatiya Ekta Dal,"  6,408 "
Uttar Pradesh,Deoria,HEMANT KISHOR SRIVASTAVA,Independent,"  5,763 "
Uttar Pradesh,Deoria,RAJU,Moderate Party,"  5,406 "
Uttar Pradesh,Deoria,SHYAM SUNDAR,Peace Party,"  5,130 "
Uttar Pradesh,Deoria,AROON KUMAR TRIPATHI,Aam Aadmi Party,"  4,952 "
Uttar Pradesh,Deoria,UMESH,Suheldev Bhartiya Samaj Party,"  4,343 "
Uttar Pradesh,Deoria,BARKHA KINNAR,Independent,"  4,124 "
Uttar Pradesh,Deoria,VED PRAKASH MALL,Janata Dal (United),"  1,916 "
Uttar Pradesh,Deoria,RAM PREET,Most Backward Classes Of India,"  1,906 "
Uttar Pradesh,Deoria,INTZARUL,Bahujan Mukti Party,"  1,833 "
Uttar Pradesh,Deoria,AWADH KISHOR NIGAM,Adarsh Rashtriya Vikas Party,"  1,153 "
Uttar Pradesh,Deoria,None of the Above,None of the Above,"  12,405 "
Uttar Pradesh,Dhaurahra,REKHA,Bharatiya Janata Party,"  360,357 "
Uttar Pradesh,Dhaurahra,DAUD AHMAD,Bahujan Samaj Party,"  234,682 "
Uttar Pradesh,Dhaurahra,ANAND BHADAURIYA,Samajwadi Party,"  234,032 "
Uttar Pradesh,Dhaurahra,KUWAR JITIN PRASAD,Indian National Congress,"  170,994 "
Uttar Pradesh,Dhaurahra,LEKHRAJ,All India Trinamool Congress,"  12,776 "
Uttar Pradesh,Dhaurahra,ANAND KUMAR,Nationalist Congress Party,"  9,967 "
Uttar Pradesh,Dhaurahra,AJAY VERMA,Bharatiya Jan Kranti Dal (Democratic),"  6,144 "
Uttar Pradesh,Dhaurahra,SUKHVINDRA SINGH,Nav Bharat Democratic Party,"  4,021 "
Uttar Pradesh,Dhaurahra,VIVEK MISHRA,Naitik Party,"  3,745 "
Uttar Pradesh,Dhaurahra,SWAMI DAYAL,Independent,"  3,491 "
Uttar Pradesh,Dhaurahra,VIJAY KUMAR TIWARI,Independent,"  3,333 "
Uttar Pradesh,Dhaurahra,KIRTI SINGH,Shivsena,"  2,788 "
Uttar Pradesh,Dhaurahra,RAM BALI,Communist Party of India (Marxist-Leninist) Red Star,"  2,144 "
Uttar Pradesh,Dhaurahra,MALA DEVI,VANCHITSAMAJ INSAAF PARTY,"  1,929 "
Uttar Pradesh,Dhaurahra,RAJENDRA KUMAR SINGH,Peace Party,"  1,730 "
Uttar Pradesh,Dhaurahra,None of the Above,None of the Above,"  8,138 "
Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,"  298,845 "
Uttar Pradesh,Domariyaganj,MUHAMMAD MUQEEM,Bahujan Samaj Party,"  195,257 "
Uttar Pradesh,Domariyaganj,MATA PRASAD PANDEY,Samajwadi Party,"  174,778 "
Uttar Pradesh,Domariyaganj,DR. MOHD. AYUB,Peace Party,"  99,242 "
Uttar Pradesh,Domariyaganj,VASUNDHARA,Indian National Congress,"  88,117 "
Uttar Pradesh,Domariyaganj,MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA,Independent,"  10,952 "
Uttar Pradesh,Domariyaganj,ARJUN SINGH,Bahujan Mukti Party,"  9,529 "
Uttar Pradesh,Domariyaganj,DR. SATYENDRA NATH PANDEY,Aam Janata Party,"  9,372 "
Uttar Pradesh,Domariyaganj,RAM UGRAH,Independent,"  7,762 "
Uttar Pradesh,Domariyaganj,HAMIDULLAH CHAUDHARY,Nationalist Congress Party,"  7,159 "
Uttar Pradesh,Domariyaganj,PINGLE PRASAD,Swaraj (J),"  5,521 "
Uttar Pradesh,Domariyaganj,DIWAKAR PRASAD,Independent,"  5,123 "
Uttar Pradesh,Domariyaganj,KALI RAM,Independent,"  4,939 "
Uttar Pradesh,Domariyaganj,SANTRAM,Bharatiya Rashtriya Bahujan Samaj Vikas Party,"  3,238 "
Uttar Pradesh,Domariyaganj,BADRE ALAM,Aam Aadmi Party,"  3,174 "
Uttar Pradesh,Domariyaganj,MANOJ KUMAR,Suheldev Bhartiya Samaj Party,"  2,709 "
Uttar Pradesh,Domariyaganj,RAVI KUMAR,Samyak Parivartan Party,"  2,535 "
Uttar Pradesh,Domariyaganj,None of the Above,None of the Above,"  6,775 "
Uttar Pradesh,Etah,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,"  474,978 "
Uttar Pradesh,Etah,KU. DEVENDRA SINGH YADAV,Samajwadi Party,"  273,977 "
Uttar Pradesh,Etah,NOOR MOHAMMAD KHAN,Bahujan Samaj Party,"  137,127 "
Uttar Pradesh,Etah,TH. JOGINDRA SINGH BHADORIYA,Mahan Dal,"  12,445 "
Uttar Pradesh,Etah,RAKESH GANDHI,Independent,"  7,123 "
Uttar Pradesh,Etah,RAJVEER SINGH,Independent,"  5,848 "
Uttar Pradesh,Etah,HANS RAJ SINGH,Aam Aadmi Party,"  2,186 "
Uttar Pradesh,Etah,THAKUR HEMENDRA VEER SINGH,Sarva Samaj Kalyan Party,"  2,034 "
Uttar Pradesh,Etah,VINAY,Bhartiya Shakti Chetna Party,"  2,008 "
Uttar Pradesh,Etah,DANVEER,Independent,"  1,333 "
Uttar Pradesh,Etah,RAJENDRA,Braj Vikas Party,"  1,021 "
Uttar Pradesh,Etah,None of the Above,None of the Above,"  6,201 "
Uttar Pradesh,Etawah,ASHOK KUMAR DOHAREY,Bharatiya Janata Party,"  439,646 "
Uttar Pradesh,Etawah,PREMDAS KATERIYA,Samajwadi Party,"  266,700 "
Uttar Pradesh,Etawah,AJAY PAL SINGH JATAV,Bahujan Samaj Party,"  192,804 "
Uttar Pradesh,Etawah,HANS MUKHI KORI,Indian National Congress,"  13,397 "
Uttar Pradesh,Etawah,UJIYARE LAL DOHARE,Aam Aadmi Party,"  5,923 "
Uttar Pradesh,Etawah,VINEET KUMAR GAUTAM,Ambedkar Samaj Party,"  4,954 "
Uttar Pradesh,Etawah,DR MUKESH SINGH DOHARE,Peace Party,"  3,178 "
Uttar Pradesh,Etawah,HAR BILASH DOHERY,Bahujan Mukti Party,"  2,677 "
Uttar Pradesh,Etawah,PREM CHANDRA,Kisan Majdoor Berojgar Sangh,"  2,372 "
Uttar Pradesh,Etawah,SIYA RAM PASWAN,Al-Hind Party,"  1,788 "
Uttar Pradesh,Etawah,None of the Above,None of the Above,"  6,165 "
Uttar Pradesh,Faizabad,LALLU SINGH,Bharatiya Janata Party,"  491,761 "
Uttar Pradesh,Faizabad,MITRASEN YADAV,Samajwadi Party,"  208,986 "
Uttar Pradesh,Faizabad,JITENDRA KUMAR SINGH (BABLU BHAIYA),Bahujan Samaj Party,"  141,827 "
Uttar Pradesh,Faizabad,NIRMAL KHATRI,Indian National Congress,"  129,917 "
Uttar Pradesh,Faizabad,RADHIKA PRASAD,Indian Savarn Samaj Party,"  9,055 "
Uttar Pradesh,Faizabad,RAM JANAM,Moulik Adhikar Party,"  6,308 "
Uttar Pradesh,Faizabad,MAKASUD ALI,Peace Party,"  5,963 "
Uttar Pradesh,Faizabad,JAI RAM SINGH JAI,Lokpriya Samaj Party,"  5,702 "
Uttar Pradesh,Faizabad,MAYURI TIWARI,Aam Aadmi Party,"  4,795 "
Uttar Pradesh,Faizabad,SHAILENDRA KUMAR SHUKLA,Naitik Party,"  4,187 "
Uttar Pradesh,Faizabad,NASREEN BANO,Rashtriya Ulama Council,"  2,678 "
Uttar Pradesh,Faizabad,None of the Above,None of the Above,"  11,537 "
Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,Bharatiya Janata Party,"  406,195 "
Uttar Pradesh,Farrukhabad,RAMESHWAR SINGH YADAV,Samajwadi Party,"  255,693 "
Uttar Pradesh,Farrukhabad,JAIVEER SINGH,Bahujan Samaj Party,"  114,521 "
Uttar Pradesh,Farrukhabad,SALMAN KHURSHID,Indian National Congress,"  95,543 "
Uttar Pradesh,Farrukhabad,SACHIN SINGH YADAV,Independent,"  58,703 "
Uttar Pradesh,Farrukhabad,RAM KISHORE DIWEDI,Independent,"  4,974 "
Uttar Pradesh,Farrukhabad,MALIKHAN SINGH ADVOCATE,Independent,"  4,659 "
Uttar Pradesh,Farrukhabad,KISHAN PAL SINGH,Independent,"  2,933 "
Uttar Pradesh,Farrukhabad,MO. TAMAJID,Peace Party,"  2,655 "
Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,Independent,"  2,420 "
Uttar Pradesh,Farrukhabad,ANJU,Bhartiya Shakti Chetna Party,"  2,254 "
Uttar Pradesh,Farrukhabad,VIMLA DEVI,Independent,"  2,140 "
Uttar Pradesh,Farrukhabad,KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT,RASHTRIYA VIKLANG PARTY,"  2,107 "
Uttar Pradesh,Farrukhabad,ANSHU MAHAN,Independent,"  2,066 "
Uttar Pradesh,Farrukhabad,DAYA SHANKAR,Adarsh Rashtriya Vikas Party,"  1,864 "
Uttar Pradesh,Farrukhabad,TARIK PARVEZ,Aam Aadmi Party,"  1,857 "
Uttar Pradesh,Farrukhabad,VRAHMA SARAN JATAV,Independent,"  1,809 "
Uttar Pradesh,Farrukhabad,ANURAG RAJPUT,Independent,"  1,605 "
Uttar Pradesh,Farrukhabad,IMAMUDDIN HUSAIN HUSAIN,Independent,"  1,537 "
Uttar Pradesh,Farrukhabad,ANOKHEY LAL,Independent,"  1,202 "
Uttar Pradesh,Farrukhabad,SURESH SARASWAT ALAIS ILLAYCHIWALA,Independent,"  1,013 "
Uttar Pradesh,Farrukhabad,RAMNIWAS KATHERIA,Bahujan Mukti Party,  941 
Uttar Pradesh,Farrukhabad,None of the Above,None of the Above,"  1,986 "
Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,Bharatiya Janata Party,"  485,994 "
Uttar Pradesh,Fatehpur,AFZAL SIDDIQUI,Bahujan Samaj Party,"  298,788 "
Uttar Pradesh,Fatehpur,RAKESH SACHAN,Samajwadi Party,"  179,724 "
Uttar Pradesh,Fatehpur,USHA MAURYA,Indian National Congress,"  46,588 "
Uttar Pradesh,Fatehpur,RAMKRISHNA TRIPATHI,All India Trinamool Congress,"  7,578 "
Uttar Pradesh,Fatehpur,SRIDEVI,Independent,"  5,838 "
Uttar Pradesh,Fatehpur,RANJANA KAKKAR,Independent,"  5,448 "
Uttar Pradesh,Fatehpur,ASHOK MISHRA,Samtawadi Republican Party,"  3,029 "
Uttar Pradesh,Fatehpur,CHANDRABHAN SINGH,Independent,"  2,498 "
Uttar Pradesh,Fatehpur,ZAINUL ABDIN,Aam Aadmi Party,"  2,454 "
Uttar Pradesh,Fatehpur,RAMLOCHAN SEN,Bahujan Mukti Party,"  2,173 "
Uttar Pradesh,Fatehpur,ARVIND KUMAR,Independent,"  1,967 "
Uttar Pradesh,Fatehpur,MOHAMMAD JAVED,Nav Bharat Democratic Party,"  1,657 "
Uttar Pradesh,Fatehpur,RUKMINI DEVI NISHAD,Pragatisheel Manav Samaj Party,"  1,345 "
Uttar Pradesh,Fatehpur,None of the Above,None of the Above,"  11,607 "
Uttar Pradesh,Fatehpur Sikri,BABULAL,Bharatiya Janata Party,"  426,589 "
Uttar Pradesh,Fatehpur Sikri,SEEMA UPADHYAY,Bahujan Samaj Party,"  253,483 "
Uttar Pradesh,Fatehpur Sikri,RANI PAKSHALIKA SINGH,Samajwadi Party,"  213,397 "
Uttar Pradesh,Fatehpur Sikri,AMAR SINGH,Rashtriya Lok Dal,"  24,185 "
Uttar Pradesh,Fatehpur Sikri,VIJAY SINGH KUSHWAHA,Sanyukt Samajwadi Dal,"  5,223 "
Uttar Pradesh,Fatehpur Sikri,ANIL KUMAR,Independent,"  3,809 "
Uttar Pradesh,Fatehpur Sikri,AMBEDKARI HASNURAM AMBEDKARI,Independent,"  3,512 "
Uttar Pradesh,Fatehpur Sikri,SANTOSH KUMAR,Independent,"  3,184 "
Uttar Pradesh,Fatehpur Sikri,LAXMI,Aam Aadmi Party,"  3,117 "
Uttar Pradesh,Fatehpur Sikri,DIWAN SINGH,Independent,"  3,101 "
Uttar Pradesh,Fatehpur Sikri,BRAJENDR SINGH,Independent,"  2,725 "
Uttar Pradesh,Fatehpur Sikri,ASHOK KUMAR,Gareeb Aadmi Party,"  2,553 "
Uttar Pradesh,Fatehpur Sikri,NATHOLI,Independent,"  2,356 "
Uttar Pradesh,Fatehpur Sikri,SATISH KUMAR,Independent,"  2,235 "
Uttar Pradesh,Fatehpur Sikri,RAM BRAJ YADAV,Independent,"  2,057 "
Uttar Pradesh,Fatehpur Sikri,PANKAJ KUMAR SHARMA,Rashtriya Samanta Dal,"  2,052 "
Uttar Pradesh,Fatehpur Sikri,RAM KUMAR DIXIT,Independent,"  1,657 "
Uttar Pradesh,Fatehpur Sikri,SEEMA DEVI,Independent,"  1,571 "
Uttar Pradesh,Fatehpur Sikri,MEGH SINGH,Peace Party,"  1,529 "
Uttar Pradesh,Fatehpur Sikri,ROHAN SINGH,Bahujan Mukti Party,"  1,063 "
Uttar Pradesh,Fatehpur Sikri,SHOBHNA BAUDDHA,Independent,"  1,006 "
Uttar Pradesh,Fatehpur Sikri,KHEMRAJ SINGH,Independent,  951 
Uttar Pradesh,Fatehpur Sikri,PEETAM SINGH,Rashtriya Kranti Party,  872 
Uttar Pradesh,Fatehpur Sikri,PITAM SINGH,Janata Dal (United),  691 
Uttar Pradesh,Fatehpur Sikri,RAKESH SINGH DHANKAR,Independent,  650 
Uttar Pradesh,Fatehpur Sikri,MANIK,Lok Dal,  643 
Uttar Pradesh,Fatehpur Sikri,MAHAVIR SINGH SOLANKI,Independent,  583 
Uttar Pradesh,Fatehpur Sikri,MUNNA LAL,Rashtriya mahan Gantantra Party,  497 
Uttar Pradesh,Fatehpur Sikri,None of the Above,None of the Above,"  2,677 "
Uttar Pradesh,Firozabad,AKSHAY YADAV,Samajwadi Party,"  534,583 "
Uttar Pradesh,Firozabad,PROF. S.P. SINGH BAGHEL,Bharatiya Janata Party,"  420,524 "
Uttar Pradesh,Firozabad,TH. VISHWADEEP SINGH,Bahujan Samaj Party,"  118,909 "
Uttar Pradesh,Firozabad,ATUL CHATURVEDI,Indian National Congress,"  7,447 "
Uttar Pradesh,Firozabad,UPENDRA SINGH,Bharatiya Kisan Parivartan Party,"  3,696 "
Uttar Pradesh,Firozabad,SHAMSHER KHA,Peace Party,"  3,526 "
Uttar Pradesh,Firozabad,RAKESH YADAV,Aam Aadmi Party,"  2,808 "
Uttar Pradesh,Firozabad,RAJVEER,Independent,"  2,425 "
Uttar Pradesh,Firozabad,MIRJA MUKARRAM BAIG,Independent,"  1,470 "
Uttar Pradesh,Firozabad,JAY PRAKASH,Shivsena,"  1,248 "
Uttar Pradesh,Firozabad,LAKSHMI NARAYAN,Rashtriya Janwadi Party (Krantikari),  939 
Uttar Pradesh,Firozabad,KHAJAN SINGH,Lok Dal,  753 
Uttar Pradesh,Firozabad,LAXMI,Bhartiya Shakti Chetna Party,  620 
Uttar Pradesh,Firozabad,RAJENDRA PRASAD,Bahujan Mukti Party,  506 
Uttar Pradesh,Firozabad,RAHAT AFROZ,Indian Union Muslim League,  498 
Uttar Pradesh,Firozabad,None of the Above,None of the Above,"  4,654 "
Uttar Pradesh,Gautam Buddha Nagar,DR.MAHESH SHARMA,Bharatiya Janata Party,"  599,702 "
Uttar Pradesh,Gautam Buddha Nagar,NARENDRA BHATI,Samajwadi Party,"  319,490 "
Uttar Pradesh,Gautam Buddha Nagar,SATISH KUMAR,Bahujan Samaj Party,"  198,237 "
Uttar Pradesh,Gautam Buddha Nagar,KISHAN PAL SINGH,Aam Aadmi Party,"  32,358 "
Uttar Pradesh,Gautam Buddha Nagar,RAMESH CHAND TOMAR,Indian National Congress,"  12,696 "
Uttar Pradesh,Gautam Buddha Nagar,MOHD. SABIR ANSARI,All India Trinamool Congress,"  4,506 "
Uttar Pradesh,Gautam Buddha Nagar,KADEEM,Independent,"  4,198 "
Uttar Pradesh,Gautam Buddha Nagar,DHARMENDER,Dharam Nirpeksh Dal,"  4,130 "
Uttar Pradesh,Gautam Buddha Nagar,GRISA KUMAR,Independent,"  3,496 "
Uttar Pradesh,Gautam Buddha Nagar,KADIR KHAN JAISWAL,Independent,"  2,684 "
Uttar Pradesh,Gautam Buddha Nagar,SONIA SHARMA,Akhil Bharatiya Samajwadi Congress,"  2,530 "
Uttar Pradesh,Gautam Buddha Nagar,UDAYVEER,Rashtriya Janta Party,"  1,526 "
Uttar Pradesh,Gautam Buddha Nagar,RAKESH,Independent,"  1,225 "
Uttar Pradesh,Gautam Buddha Nagar,LT COL SP SINGH,Nav Bharat Democratic Party,"  1,183 "
Uttar Pradesh,Gautam Buddha Nagar,SAVITRI,Independent,  996 
Uttar Pradesh,Gautam Buddha Nagar,SUMITI,Independent,  978 
Uttar Pradesh,Gautam Buddha Nagar,SEEMA,Rashtriya Naujawan Dal,  977 
Uttar Pradesh,Gautam Buddha Nagar,MAHESH,Independent,  794 
Uttar Pradesh,Gautam Buddha Nagar,RUVEZ ALAM RAHI,National Loktantrik Party,  773 
Uttar Pradesh,Gautam Buddha Nagar,RAM VILAS,Bahujan Mukti Party,  656 
Uttar Pradesh,Gautam Buddha Nagar,GAJENDRA,Indian Oceanic Party,  649 
Uttar Pradesh,Gautam Buddha Nagar,SUNIL GAUTAM,Independent,  623 
Uttar Pradesh,Gautam Buddha Nagar,RAVINDER SHARMA,Rashtriya Kranti Party,  503 
Uttar Pradesh,Gautam Buddha Nagar,SAFRUDDIN,Independent,  491 
Uttar Pradesh,Gautam Buddha Nagar,None of the Above,None of the Above,"  3,837 "
Uttar Pradesh,Ghaziabad,VIJAY KUMAR SINGH,Bharatiya Janata Party,"  758,482 "
Uttar Pradesh,Ghaziabad,RAJ BABBAR,Indian National Congress,"  191,222 "
Uttar Pradesh,Ghaziabad,MUKUL,Bahujan Samaj Party,"  173,085 "
Uttar Pradesh,Ghaziabad,SUDHAN KUMAR,Samajwadi Party,"  106,984 "
Uttar Pradesh,Ghaziabad,SHAZIA ILMI MALIK,Aam Aadmi Party,"  89,147 "
Uttar Pradesh,Ghaziabad,SANJEEV KUMAR,Independent,"  4,639 "
Uttar Pradesh,Ghaziabad,SABIR,Independent,"  3,409 "
Uttar Pradesh,Ghaziabad,SURESH PAL,Bharatiya Sarvodaya Kranti Party,"  1,591 "
Uttar Pradesh,Ghaziabad,NARESH GAUTAM,Bahujan Mukti Party,"  1,548 "
Uttar Pradesh,Ghaziabad,SALEEM MALIK,Independent,"  1,486 "
Uttar Pradesh,Ghaziabad,RINKU KUMAR TYAGI,Independent,"  1,185 "
Uttar Pradesh,Ghaziabad,RAMPHAL SHAKYA,Independent,"  1,094 "
Uttar Pradesh,Ghaziabad,VINOD KUMAR TYAGI,Independent,  992 
Uttar Pradesh,Ghaziabad,KESHAV CHOUDHARY,Independent,  627 
Uttar Pradesh,Ghaziabad,NITIN,Independent,  624 
Uttar Pradesh,Ghaziabad,None of the Above,None of the Above,"  6,205 "
Uttar Pradesh,Ghazipur,MANOJ SINHA,Bharatiya Janata Party,"  306,929 "
Uttar Pradesh,Ghazipur,SMT SHIVKANYA KUSHWAHA,Samajwadi Party,"  274,477 "
Uttar Pradesh,Ghazipur,KAILASH NATH SINGH YADAV,Bahujan Samaj Party,"  241,645 "
Uttar Pradesh,Ghazipur,DHARM YADAV ALIAS D.P.YADAV,Rashtriya Parivartan Dal,"  59,510 "
Uttar Pradesh,Ghazipur,ARUN KUMAR SINGH,Independent,"  34,093 "
Uttar Pradesh,Ghazipur,MO. MAKSUD KHAN,Indian National Congress,"  18,908 "
Uttar Pradesh,Ghazipur,BRIJ BHUSHAN,Aam Aadmi Party,"  6,925 "
Uttar Pradesh,Ghazipur,ISHWARI,Communist Party of India (Marxist-Leninist) (Liberation),"  6,512 "
Uttar Pradesh,Ghazipur,SATYA DEV YADAV,Naitik Party,"  6,381 "
Uttar Pradesh,Ghazipur,KUBER,Independent,"  4,889 "
Uttar Pradesh,Ghazipur,ISHWAR DEV,Adarsh Rashtriya Vikas Party,"  4,019 "
Uttar Pradesh,Ghazipur,PAPPU,Eklavya Samaj Party,"  3,585 "
Uttar Pradesh,Ghazipur,RAJENDRA NATH RAM,Bahujan Mukti Party,"  3,468 "
Uttar Pradesh,Ghazipur,BHARAT,Janta Raj Party,"  2,484 "
Uttar Pradesh,Ghazipur,OMKAR CHAUHAN,Janvadi Party(Socialist),"  2,416 "
Uttar Pradesh,Ghazipur,DEENDAYAL,Pragatisheel Manav Samaj Party,"  2,122 "
Uttar Pradesh,Ghazipur,LAKSHAMAN,Independent,"  1,588 "
Uttar Pradesh,Ghazipur,GUPTESHWAR,Lok Dal,"  1,111 "
Uttar Pradesh,Ghazipur,None of the Above,None of the Above,"  5,611 "
Uttar Pradesh,Ghosi,HARINARAYAN RAJBHAR,Bharatiya Janata Party,"  379,797 "
Uttar Pradesh,Ghosi,DARA SINGH CHAUHAN,Bahujan Samaj Party,"  233,782 "
Uttar Pradesh,Ghosi,MOKHTAR ANSARI,Qaumi Ekta Dal,"  166,443 "
Uttar Pradesh,Ghosi,RAJEEV KUMAR RAI,Samajwadi Party,"  165,887 "
Uttar Pradesh,Ghosi,RASHTRA KUNWAR SINGH,Indian National Congress,"  19,315 "
Uttar Pradesh,Ghosi,ATUL KUMAR SINGH ANJAAN,Communist Party of India,"  18,162 "
Uttar Pradesh,Ghosi,DOODHNATH CHAUHAN,Independent,"  8,163 "
Uttar Pradesh,Ghosi,BADRI NATH YADAV,Rashtriya Congress(J) Party,"  7,650 "
Uttar Pradesh,Ghosi,DR. SHAMEEM ABIDI,Peace Party,"  7,581 "
Uttar Pradesh,Ghosi,MANISH KUMAR RAI,Aam Aadmi Party,"  4,188 "
Uttar Pradesh,Ghosi,HARISH CHANDRA,Rashtriya Janwadi Party (Krantikari),"  4,130 "
Uttar Pradesh,Ghosi,SURYA KUMAR,Independent,"  4,030 "
Uttar Pradesh,Ghosi,VIJAY KUMAR UPADHYAY,Rashtriya Krantikari Samajwadi Party,"  3,826 "
Uttar Pradesh,Ghosi,HEMANT KUMAR,Bhartiya Sarvjan Party,"  2,949 "
Uttar Pradesh,Ghosi,VISHUN DAYAL,Independent,"  2,721 "
Uttar Pradesh,Ghosi,RAVI SHANKAR BHARAT,Jan Raajya Party,"  2,543 "
Uttar Pradesh,Ghosi,RAJKUMAR CHAUHAN,Janvadi Party(Socialist),"  2,246 "
Uttar Pradesh,Ghosi,HARINATH,Naitik Party,"  1,786 "
Uttar Pradesh,Ghosi,None of the Above,None of the Above,"  4,457 "
Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH,Bharatiya Janata Party,"  359,643 "
Uttar Pradesh,Gonda,NANDITA SHUKLA,Samajwadi Party,"  199,227 "
Uttar Pradesh,Gonda,AKBAR AHMAD DUMPY,Bahujan Samaj Party,"  116,178 "
Uttar Pradesh,Gonda,BENI PRASAD VERMA,Indian National Congress,"  102,254 "
Uttar Pradesh,Gonda,MASOOD ALAM KHAN,Peace Party,"  42,744 "
Uttar Pradesh,Gonda,OM PRAKASH,Communist Party of India,"  18,450 "
Uttar Pradesh,Gonda,TILAK RAM,Independent,"  5,374 "
Uttar Pradesh,Gonda,SATYA PRAKASH,Shivsena,"  4,748 "
Uttar Pradesh,Gonda,MASHOOQ AHMAD,Aam Aadmi Party,"  3,358 "
Uttar Pradesh,Gonda,AJAY KUMAR PRABHAKAR,Bahujan Mukti Party,"  3,200 "
Uttar Pradesh,Gonda,MAHESH KUMAR,Janvadi Party(Socialist),"  2,555 "
Uttar Pradesh,Gonda,BRIJNANDAN TIWARI,Independent,"  2,395 "
Uttar Pradesh,Gonda,RAJESH KUMAR MAURYA,Socialist Party (India),"  2,199 "
Uttar Pradesh,Gonda,PREM KUMAR,Most Backward Classes Of India,"  1,900 "
Uttar Pradesh,Gonda,RAJENDRA PRASAD,Samyak Parivartan Party,"  1,519 "
Uttar Pradesh,Gonda,None of the Above,None of the Above,"  7,988 "
Uttar Pradesh,Gorakhpur,ADITYANATH,Bharatiya Janata Party,"  539,127 "
Uttar Pradesh,Gorakhpur,RAJMATI NISHAD,Samajwadi Party,"  226,344 "
Uttar Pradesh,Gorakhpur,RAM BHUAL NISHAD,Bahujan Samaj Party,"  176,412 "
